Name,Price,Quantity,Category
Tri--Angels---Headphone-Ta-501,1899.99,15.0,Electronic accessories
Logitech-H151-BasicHeadphones,4199.99,15.0,Electronic accessories
Logitech-G-Pro-Gaming-Headset,25999.9,15.0,Electronic accessories
Logitech-M190F-Wireless-Mouse,1899.99,15.0,Electronic accessories
Lenovo-M120-Pro- Wired-Mouse,2205.99,15.0,Electronic accessories
64GBSE9(FreeOtg) USBDataTravel,725.999,15.0,Electronic accessories
Samsung-ssd- 870-evo-1TB-sata3,25799.9,15.0,Electronic accessories
Fossil-Mens--Minimalist---Watch,10287.9,35.0,Watches and Eyewear
naviforce-Men-Quartz Multi func,2899.99,25.0,Watches and Eyewear
FitbitVersa2Health-- and---Fitness,23951.9,30.0,Watches and Eyewear
EmporioArmaniWomenDresWach,30444.9,40.0,Watches and Eyewear
Bose-FramesSopranoCatEyePolar,40039.9,45.0,Watches and Eyewear
Ray-BanRb3447MetalRoundglass,25888.9,38.0,Watches and Eyewear
Ray-BanRb2180RoundSunglasses,24111.9,47.0,Watches and Eyewear
Stott---Pilates--Eco-friendly--Mat,5690.99,70,Health and Fitness
Bowflex-- Select-Tech--Dumbbell,64873.9,50,Health and Fitness
Whatafit-Resistance Bands-11pcs,4065.99,60,Health and Fitness
Blender Bottle (cls) Shaker  Bottle,1382.99,100,Health and Fitness
Marcy-PortableMagnetMiniCycle,19510.9,80,Health and Fitness
G--Fuel--Pewdiepie-(40Servings),5853.99,200,Health and Fitness
C4SportPreWorkoutPowderFruitP,6500.99,100,Health and Fitness
"AbRollerWheel,AbsWorkoutEquip",2764.99,40,Health and Fitness
DegolSkipping Ropeball Bearings,2276.99,70,Health and Fitness
Balance--from--Rubber-Encased,19510.9,50,Health and Fitness
Echelon -Fitness---Mat-----Black,6292.99,65,Health and Fitness
Fire--O--Unit--( TT )--Blaze --Bat,2400.99,60,Sports and Outdoor
Gunn-and-Moore--2017 Original,18697.9,50,Sports and Outdoor
Gunn--and-Moore----5---Sleeve,4855.99,40,Sports and Outdoor
SS--Kashmir- Willow Leather-Bat,10405.9,60,Sports and Outdoor
Gunn&MooreOriginalDuplex GM,19835.9,50,Sports and Outdoor
Pro-Style-Boxing--Gloves-(Black),8779.99,40,Sports and Outdoor
MaxxMMA MMAThai PadTraining,4877.99,50,Sports and Outdoor
Venum--'Attack'--( MMA ) Gloves,8942.99,50,Sports and Outdoor
Men's-Nike-Pro-Hyperstrng- Top,9755.99,60,Sports and Outdoor
Adidas-mens-Real--Madrid--Ball,2600.99,85,Sports and Outdoor
Adidas-Women's-Regista-20Jsyw,6500.99,45,Sports and Outdoor
Adidas--Men's---X---19.3---Shoe,9917.99,75,Sports and Outdoor
Adidas--TIERRO13-GK-3/4- Pants,6500.99,76,Sports and Outdoor
Adidas--Tango-Rosario-MU- Ball,3250.99,38,Sports and Outdoor
Adidas-Unisex- Child Goletto -VII,4877.99,55,Sports and Outdoor
NBA-2K21-----Play -- Station -- 4,2113.99,40,E-Gaming
"Logitech--G502--HERO-,-PC/Mac",10568.9,33,E-Gaming
MarvelsSpiderMn:MilesMoralPS5,11380.9,45,E-Gaming
"Battlefield - 2042 - PC --( 8,2021 )",9755.99,20,E-Gaming
SonyPlayStation4 Slim1TB  1TBHD,81295.9,55,E-Gaming
SteelSeries-Apex-PRORGB-Backlit,25690.9,47,E-Gaming
Assassin’s-Creed-Valhalla-PS4-SE,7480.99,58,E-Gaming
Microsoft----Xbox--One-S---1TB,95927.9,44,E-Gaming
Mortal----Kombat---11---( PS4 ),3739.99,52,E-Gaming
Charger-for-XboxOne Controller,4550.99,30,E-Gaming
Red--Dead--Redemption-2-(PS4),5920.99,46,E-Gaming
Minecraft  Starter Collection PS4,4640.99,60,E-Gaming
"American Fugitive - PS4 (8,2021)",4880.99,25,E-Gaming
Razer--Kraken---Kitty---Headset,24388.9,48,E-Gaming
Cyberpunk --------2077------PC,8130.99,47,E-Gaming
